building@320 | .building-card-mini | display : "flex" -> "block"
building@320 | .building-card-mini | flex-direction : "column" -> "row"
building@320 | .building-card-mini__media | position : "static" -> "relative"
building@320 | .building-card-mini__media | top : "auto" -> "0px"
building@320 | .building-card-mini__media | right : "auto" -> "0px"
building@320 | .building-card-mini__media | bottom : "auto" -> "0px"
building@320 | .building-card-mini__media | left : "auto" -> "0px"
building@320 | .building-card-mini__media | min-height : "auto" -> "0px"
building@320 | .building-card-mini__media | overflow : "hidden" -> "visible"
building@320 | .building-card-mini__media | overflow-x : "hidden" -> "visible"
building@320 | .building-card-mini__media | overflow-y : "hidden" -> "visible"
building@320 | .building-card-mini__body | min-height : "auto" -> "0px"
building@320 | .detail-side-rail | flex-direction : "column" -> "row"
building@320 | .detail-side-rail | top : "108px" -> "auto"
building@320 | .detail-side-rail | gap : "16px" -> "normal"
building@320 | .location-panel__poi-panel | z-index : "10" -> "auto"
building@320 | .location-panel__poi-subtab | border-radius : "999px" -> "980px"
building@320 | .amap-map-canvas__pin-marker | count : 0 -> 2
building@375 | .building-card-mini | display : "flex" -> "block"
building@375 | .building-card-mini | flex-direction : "column" -> "row"
building@375 | .building-card-mini__media | position : "static" -> "relative"
building@375 | .building-card-mini__media | top : "auto" -> "0px"
building@375 | .building-card-mini__media | right : "auto" -> "0px"
building@375 | .building-card-mini__media | bottom : "auto" -> "0px"
building@375 | .building-card-mini__media | left : "auto" -> "0px"
building@375 | .building-card-mini__media | min-height : "auto" -> "0px"
building@375 | .building-card-mini__media | overflow : "hidden" -> "visible"
building@375 | .building-card-mini__media | overflow-x : "hidden" -> "visible"
building@375 | .building-card-mini__media | overflow-y : "hidden" -> "visible"
building@375 | .building-card-mini__body | min-height : "auto" -> "0px"
building@375 | .detail-side-rail | flex-direction : "column" -> "row"
building@375 | .detail-side-rail | top : "108px" -> "auto"
building@375 | .detail-side-rail | gap : "16px" -> "normal"
building@375 | .location-panel__poi-panel | z-index : "10" -> "auto"
building@375 | .location-panel__poi-subtab | border-radius : "999px" -> "980px"
building@768 | .building-card-mini | display : "flex" -> "block"
building@768 | .building-card-mini | flex-direction : "column" -> "row"
building@768 | .building-card-mini__media | position : "static" -> "relative"
building@768 | .building-card-mini__media | top : "auto" -> "0px"
building@768 | .building-card-mini__media | right : "auto" -> "0px"
building@768 | .building-card-mini__media | bottom : "auto" -> "0px"
building@768 | .building-card-mini__media | left : "auto" -> "0px"
building@768 | .building-card-mini__media | min-height : "auto" -> "0px"
building@768 | .building-card-mini__media | overflow : "hidden" -> "visible"
building@768 | .building-card-mini__media | overflow-x : "hidden" -> "visible"
building@768 | .building-card-mini__media | overflow-y : "hidden" -> "visible"
building@768 | .building-card-mini__body | min-height : "auto" -> "0px"
building@768 | .detail-side-rail | flex-direction : "column" -> "row"
building@768 | .detail-side-rail | top : "108px" -> "auto"
building@768 | .detail-side-rail | gap : "16px" -> "normal"
building@768 | .location-panel__poi-panel | z-index : "10" -> "auto"
building@768 | .location-panel__poi-subtab | border-radius : "999px" -> "980px"
building@1440 | .building-card-mini | display : "flex" -> "block"
building@1440 | .building-card-mini | flex-direction : "column" -> "row"
building@1440 | .building-card-mini__media | position : "static" -> "relative"
building@1440 | .building-card-mini__media | top : "auto" -> "0px"
building@1440 | .building-card-mini__media | right : "auto" -> "0px"
building@1440 | .building-card-mini__media | bottom : "auto" -> "0px"
building@1440 | .building-card-mini__media | left : "auto" -> "0px"
building@1440 | .building-card-mini__media | min-height : "auto" -> "0px"
building@1440 | .building-card-mini__media | overflow : "hidden" -> "visible"
building@1440 | .building-card-mini__media | overflow-x : "hidden" -> "visible"
building@1440 | .building-card-mini__media | overflow-y : "hidden" -> "visible"
building@1440 | .building-card-mini__body | min-height : "auto" -> "0px"
building@1440 | .detail-side-rail | flex-direction : "column" -> "row"
building@1440 | .detail-side-rail | top : "108px" -> "auto"
building@1440 | .detail-side-rail | gap : "16px" -> "normal"
building@1440 | .location-panel__poi-panel | z-index : "10" -> "auto"
building@1440 | .location-panel__poi-subtab | border-radius : "999px" -> "980px"
building@1440 | .amap-map-canvas__pin-marker | count : 2 -> 0
building@1440 | .amap-map-canvas__pin-marker | display : "flex" -> undefined
building@1440 | .amap-map-canvas__pin-marker | flex-direction : "row" -> undefined
building@1440 | .amap-map-canvas__pin-marker | flex-wrap : "nowrap" -> undefined
building@1440 | .amap-map-canvas__pin-marker | position : "absolute" -> undefined
building@1440 | .amap-map-canvas__pin-marker | top : "0px" -> undefined
building@1440 | .amap-map-canvas__pin-marker | right : "-13px" -> undefined
building@1440 | .amap-map-canvas__pin-marker | bottom : "-13px" -> undefined
building@1440 | .amap-map-canvas__pin-marker | left : "0px" -> undefined
building@1440 | .amap-map-canvas__pin-marker | width : "26px" -> undefined
building@1440 | .amap-map-canvas__pin-marker | height : "26px" -> undefined
building@1440 | .amap-map-canvas__pin-marker | max-height : "none" -> undefined
building@1440 | .amap-map-canvas__pin-marker | min-height : "0px" -> undefined
building@1440 | .amap-map-canvas__pin-marker | margin : "-13px 0px 0px -13px" -> undefined
building@1440 | .amap-map-canvas__pin-marker | padding : "0px" -> undefined
building@1440 | .amap-map-canvas__pin-marker | gap : "normal" -> undefined
