building-empty-1440.png: h=3895/3895 diffPx=809 yRange=1888..1905
building-nomedia-1440.png: h=4502/4502 diffPx=7301 yRange=2128..2388
building-nomedia-320.png: h=8103/8103 diffPx=46575 yRange=4292..4491
building-nomedia-375.png: h=7939/7939 diffPx=55681 yRange=4186..4385
building-nomedia-768.png: h=6179/6179 diffPx=10826 yRange=2579..2828
buildings-index-375.png: h=3984/3984 diffPx=48 yRange=2128..2144
listing-1440.png: h=4310/4310 diffPx=18948 yRange=2612..3047
listing-320.png: h=5123/5304 diffPx=308370 yRange=3011..5111
listing-375.png: h=5045/5226 diffPx=393371 yRange=2898..5034
listing-768.png: h=4930/5115 diffPx=440520 yRange=3086..4915
listing-so-1440.png: h=4375/4375 diffPx=5232 yRange=2728..2982
listing-so-320.png: h=6437/6437 diffPx=3024 yRange=3171..3234
listing-so-375.png: h=6394/6394 diffPx=1577 yRange=3059..3092
listing-so-768.png: h=5804/5804 diffPx=5058 yRange=3111..3331
